August_1m	August_2m	August_3m	August_4m	December_1m	December_2m	December_3m	December_4m	August_1t	August_2t	August_3t	August_4t	December_1t	December_2t	December_3t	December_4t
8259.0	9281.0	7560.0	9134.0	12281.0	12099.0	11091.0	12322.0	11392.0	13016.0	10558.0	12793.0	13263.0	12790.0	12017.0	13080.0
3523.0	2934.0	2065.0	3273.0	2747.0	2211.0	2354.0	3647.0	7161.0	6038.0	4651.0	6432.0	3620.0	3102.0	3243.0	4849.0
757.0	1137.0	662.0	848.0	1332.0	1170.0	1433.0	1133.0	3591.0	4585.0	3081.0	3674.0	2622.0	2256.0	2405.0	2195.0
530.0	660.0	467.0	646.0	83.0	130.0	102.0	70.0	5149.0	6410.0	5919.0	6953.0	5551.0	6505.0	6022.0	6437.0
454.0	550.0	428.0	646.0	832.0	1474.0	1160.0	1062.0	1840.0	2402.0	1793.0	2184.0	1875.0	3233.0	2595.0	2458.0
795.0	953.0	623.0	646.0	1498.0	1517.0	1331.0	2089.0	3600.0	3158.0	3181.0	2728.0	2956.0	2730.0	2389.0	3750.0
833.0	696.0	818.0	767.0	1623.0	1257.0	1535.0	1097.0	1704.0	1467.0	1521.0	1435.0	2227.0	1713.0	2115.0	1593.0
1136.0	1247.0	1753.0	1374.0	3122.0	4033.0	4539.0	4709.0	2862.0	2642.0	3507.0	2810.0	4248.0	4985.0	5819.0	5821.0
2614.0	2861.0	2299.0	2061.0	6411.0	8456.0	7132.0	7329.0	5707.0	6114.0	5705.0	5396.0	9699.0	11474.0	10474.0	10546.0
454.0	550.0	467.0	687.0	624.0	823.0	750.0	778.0	6888.0	5981.0	5773.0	6134.0	2763.0	4336.0	3541.0	3508.0
1136.0	807.0	779.0	1172.0	3788.0	2818.0	2866.0	2018.0	3678.0	3321.0	2823.0	3092.0	5637.0	4598.0	4707.0	3347.0
378.0	440.0	311.0	525.0	1082.0	1040.0	1058.0	1062.0	5119.0	4358.0	4156.0	3892.0	3560.0	3552.0	3792.0	2992.0
1742.0	2201.0	2065.0	1495.0	1040.0	1821.0	1433.0	1168.0	4219.0	4991.0	5062.0	3494.0	8195.0	7885.0	6793.0	7587.0
340.0	440.0	233.0	727.0	1373.0	1691.0	1535.0	1416.0	1326.0	1577.0	1328.0	2121.0	2372.0	2602.0	2526.0	2266.0
1212.0	1283.0	1363.0	1293.0	541.0	1040.0	443.0	743.0	12628.0	14590.0	16046.0	17245.0	20045.0	25386.0	21127.0	24785.0
757.0	917.0	935.0	687.0	2581.0	1994.0	2627.0	1982.0	10379.0	9454.0	11003.0	8588.0	17801.0	12468.0	17519.0	14473.0
151.0	330.0	311.0	282.0	707.0	780.0	955.0	708.0	5828.0	6473.0	7603.0	6287.0	5947.0	4972.0	5862.0	5324.0
3674.0	4145.0	4715.0	3718.0	2331.0	3599.0	3174.0	4001.0	29877.0	38382.0	36271.0	32335.0	7594.0	8237.0	7347.0	9197.0
151.0	293.0	116.0	161.0	416.0	823.0	750.0	814.0	2296.0	3089.0	1916.0	2377.0	1455.0	2080.0	1896.0	1805.0
1250.0	1210.0	935.0	889.0	2497.0	1474.0	2218.0	2195.0	6907.0	6022.0	6362.0	5488.0	8136.0	4593.0	8008.0	7269.0
681.0	513.0	506.0	282.0	541.0	563.0	477.0	460.0	2137.0	1450.0	1677.0	1458.0	666.0	758.0	546.0	690.0
4925.0	5209.0	4910.0	5416.0	4995.0	5421.0	5938.0	4567.0	12042.0	12030.0	12244.0	11774.0	19592.0	18070.0	20267.0	15696.0
833.0	623.0	1130.0	1091.0	791.0	823.0	887.0	672.0	2596.0	2711.0	2472.0	2791.0	1061.0	953.0	1057.0	849.0
151.0	220.0	506.0	444.0	3164.0	3339.0	4334.0	2266.0	8914.0	8152.0	8586.0	6175.0	10273.0	8105.0	10494.0	8122.0
1932.0	2017.0	2455.0	2505.0	1998.0	2818.0	3071.0	3151.0	9565.0	10906.0	13639.0	14238.0	19032.0	26847.0	24186.0	25010.0
2007.0	1283.0	1636.0	1818.0	2914.0	3859.0	2593.0	2266.0	4015.0	2714.0	2943.0	3903.0	4122.0	5201.0	3770.0	3362.0
454.0	220.0	350.0	282.0	1207.0	1127.0	1740.0	1451.0	14207.0	9569.0	10020.0	10881.0	16315.0	11505.0	15680.0	14094.0
416.0	220.0	896.0	363.0	707.0	780.0	682.0	424.0	928.0	660.0	1519.0	1092.0	790.0	802.0	750.0	460.0
