ind logFC logCPM PValue twd PValue_fdr Decide_test August_1m August_2m August_3m August_4m December_1m December_2m December_3m December_4m
1 ind-1 0.163616354595213 11.6746051678835 0.838946875662002 0.599194121612516 1 0 8259 9281 7560 9134 12281 12099 11091 12322
2 ind-2 -0.414344229941176 9.85625509414027 0.619257027409189 0.639160207757503 1 0 3523 2934 2065 3273 2747 2211 2354 3647
3 ind-3 0.258367006862008 8.39758475425013 0.77037553490605 0.716133820789551 1 0 757 1137 662 848 1332 1170 1433 1133
4 ind-4 -2.90014239901119 6.88206930906492 0.0111042957100847 1.0190455241109 1 0 530 660 467 646 83 130 102 70
5 ind-5 0.80642497367311 8.00391326735644 0.3811649017477 0.76506093283001 1 0 454 550 428 646 832 1474 1160 1062
6 ind-6 0.771260726175197 8.53017353472522 0.382604990692551 0.70776147454848 1 0 795 953 623 646 1498 1517 1331 2089
7 ind-7 0.501878929261178 8.4131976711583 0.569857540154403 0.711526777078503 1 0 833 696 818 767 1623 1257 1535 1097
8 ind-8 1.24573346639243 9.72005244313863 0.141556190863465 0.643140827061419 1 0 1136 1247 1753 1374 3122 4033 4539 4709
9 ind-9 1.24751737046701 10.5540507691504 0.132083959993975 0.615785056107431 1 0 2614 2861 2299 2061 6411 8456 7132 7329
10 ind-10 0.150029022304706 7.67739992714788 0.87425116086814 0.812501696712634 1 0 454 550 467 687 624 823 750 778
11 ind-11 1.24994597883742 9.20608722807995 0.146323898696247 0.66199501672372 1 0 1136 807 779 1172 3788 2818 2866 2018
12 ind-12 1.05047762140281 7.83278075213847 0.263005251786013 0.786900832517364 1 0 378 440 311 525 1082 1040 1058 1062
13 ind-13 -0.795279663160529 9.07139337522717 0.354202218725134 0.669934810730521 1 0 1742 2201 2065 1495 1040 1821 1433 1168
14 ind-14 1.495270447245 8.20236995876015 0.108020050863887 0.759482169148678 1 0 340 440 233 727 1373 1691 1535 1416
15 ind-15 -1.229839660753 8.37852690177963 0.17504560406988 0.732393394788885 1 0 1212 1283 1363 1293 541 1040 443 743
16 ind-16 1.15090590901134 8.91539725905309 0.184409684457005 0.67447600735197 1 0 757 917 935 687 2581 1994 2627 1982
17 ind-17 1.22804776763709 7.34922273316983 0.228353797434557 0.913916333517584 1 0 151 330 311 282 707 780 955 708
18 ind-18 -0.640841010886621 10.2416995967917 0.438815437813007 0.627641381236892 1 0 3674 4145 4715 3718 2331 3599 3174 4001
19 ind-19 1.63707013586154 7.06748440461644 0.129754539245528 1.00027236608277 1 0 151 293 116 161 416 823 750 814
20 ind-20 0.650206144124387 8.96205269559606 0.450976096671893 0.678577611652487 1 0 1250 1210 935 889 2497 1474 2218 2195
21 ind-21 -0.295160705109779 7.3633581159786 0.769390661881304 0.912894829536575 1 0 681 513 506 282 541 563 477 460
22 ind-22 -0.28811736404185 10.71319017888 0.722371047539966 0.606970536721505 1 0 4925 5209 4910 5416 4995 5421 5938 4567
